num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
155511,Sm1Fe1As0.77P0.23H0.2O0.8,SmFeAs1-yPyO1-xHx,oxypnictide,36.0,3.8943,,8.3527,PRB089094510,Sm,1.0,Fe,1.0,As,0.77,P,0.23,H,0.2,,,,,,,,,O,0.8,,Sm1.0Fe1.0As0.77P0.23H0.2O0.8
155512,Sm1Fe1As0.55P0.45H0.08O0.92,SmFeAs1-yPyO1-xHx,oxypnictide,19.0,3.9034,,8.3253,PRB089094510,Sm,1.0,Fe,1.0,As,0.55,P,0.45,H,0.08,,,,,,,,,O,0.92,,Sm1.0Fe1.0As0.55P0.45H0.08O0.92
155513,Sm1Fe1As0.55P0.45H0.16O0.84,SmFeAs1-yPyO1-xHx,oxypnictide,11.0,3.8947,,8.3107,PRB089094510,Sm,1.0,Fe,1.0,As,0.55,P,0.45,H,0.16,,,,,,,,,O,0.84,,Sm1.0Fe1.0As0.55P0.45H0.16O0.84
155514,Sm1Fe1As0.55P0.45H0.26O0.74,SmFeAs1-yPyO1-xHx,oxypnictide,17.0,3.8774,,8.2804,PRB089094510,Sm,1.0,Fe,1.0,As,0.55,P,0.45,H,0.26,,,,,,,,,O,0.74,,Sm1.0Fe1.0As0.55P0.45H0.26O0.74
155515,Sm1Fe1As0.47P0.53H0.09O0.91,SmFeAs1-yPyO1-xHx,oxypnictide,10.5,3.8960000000000004,,8.2938,PRB089094510,Sm,1.0,Fe,1.0,As,0.47,P,0.53,H,0.09,,,,,,,,,O,0.91,,Sm1.0Fe1.0As0.47P0.53H0.09O0.91
155716,La1Fe1As0.7P0.3O1,LsFe(As1-xPx)O,oxypnictide,10.6,,,,JPS083023707,La,1.0,Fe,1.0,As,0.7,P,0.3,,,,,,,,,,,O,1.0,,La1.0Fe1.0As0.7P0.3O1.0
155752,Ce1Fe1As1F0.08O0.92,"Ce(O,F)FeAs",oxypnictide,27.6,5.645,5.6352,8.6287,NATM0070953,Ce,1.0,Fe,1.0,As,1.0,F,0.08,,,,,,,,,,,O,0.92,,Ce1.0Fe1.0As1.0F0.08O0.92
155753,Ce1Fe1As1F0.1O0.9,"Ce(O,F)FeAs",oxypnictide,32.8,5.6386,5.6364,8.6258,NATM0070953,Ce,1.0,Fe,1.0,As,1.0,F,0.1,,,,,,,,,,,O,0.9,,Ce1.0Fe1.0As1.0F0.1O0.9
155754,Ce1Fe1As1F0.16O0.84,"Ce(O,F)FeAs",oxypnictide,40.7,3.9847,,8.6032,NATM0070953,Ce,1.0,Fe,1.0,As,1.0,F,0.16,,,,,,,,,,,O,0.84,,Ce1.0Fe1.0As1.0F0.16O0.84
156005,La1Fe1As1H0.42O0.58,"LaFeAs(O,H)",oxypnictide,20.3,,,,NAP0100300,La,1.0,Fe,1.0,As,1.0,H,0.42,,,,,,,,,,,O,0.58,,La1.0Fe1.0As1.0H0.42O0.58
