id :,str3 :,composition :,latc :,lata :,latb :,cu-o_a1 :,cu-o_a2 :,cu-o_a :,cu-o_p :
39289,RE123,TmBa2Cu2.97O6.89,11.673,3.8139999999999996,3.8760000000000003,2.31,,2.31,1.9225
41564,RE123,PrBa2Cu3O6.957,11.7015,3.864,3.925,2.24,,2.24,1.94725
41565,RE123,PrBa2Cu2.7Zn0.3O6.971,11.7016,3.8825,3.9175,2.263,,2.263,1.95
50257,RE123,Nd0.6Y0.4Ba2Cu2.95O6.76,11.686,3.8298,3.8906,2.373,,2.373,1.9301
54687,RE123,SmBa1.9Sr0.1Cu3O6.92,11.7081,3.8567,3.895,2.365,,2.365,1.937925
54689,RE123,SmBa1.7Sr0.3Cu3O6.94,11.6787,3.8562,3.8838,2.36,,2.36,1.935
56511,RE123,Ba2Gd0.6Y0.4Cu3O7,11.6897,3.8349,3.8912,2.256,,2.256,1.931525
56514,RE123,Ba2GdCu3O7,11.6959,3.8959,3.8959,2.213,,2.213,1.94795
56628,RE123,Nd0.8Ca0.1Th0.1Ba2Cu3O7.04,11.732000000000001,3.8679,3.9088,2.251,,2.251,1.944175
63430,RE123,ErBa2Cu3O6.99,11.6576,3.8123,3.8756,2.293,,2.293,1.921975
64640,RE123,DyBa2Cu3O6.84,11.716,3.8931,3.8307,2.294,,2.294,1.93095
65377,RE123,LaBa2Cu3O6.7,11.7911,3.8973,3.9337,2.194,,2.194,1.95775
65388,RE123,Ba2ErCu3O6.95,11.6656,3.8127,3.8785,2.278,,2.278,1.9228
65922,RE123,La1.56Ba1.44Cu2.86O6.98,11.742,3.9182,3.9277,2.226,,2.226,1.961475
67631,Y124,YBa2Cu4O8,27.241,3.8419,3.8715,2.283,,2.283,1.92835
69698,Y124,YBa2Cu4O8,27.23,3.84,3.8710000000000004,2.294,,2.294,1.92775
72258,Y124,YBa2Cu4O8,27.213,3.8369999999999997,3.87,2.28,,2.28,1.92675
72261,Y124,YBa2Cu4O8,27.241999999999997,3.845,3.8680000000000003,2.299,,2.299,1.92825
400278,Y124,Y0.94Ca0.06Ba2Cu4O8,27.2237,3.8369999999999997,3.8672,2.286,,2.286,1.92605
83925,Y124,YBa1.75Sr0.25Cu4O8,27.188290000000002,3.8376,3.8643,2.2680000000000002,,2.2680000000000002,1.925475
75689,Y124,YBa2Cu4O8,27.237,3.8398,3.8693,2.285,,2.285,1.927275
72263,RE124,Y0.2Pr0.8Ba2Cu4O8,27.296,3.8797,3.8919,2.238,,2.238,1.9429
74125,RE124,DyBa2Cu4O8,27.23726,3.84891,3.87549,2.272,,2.272,1.9311
74126,RE124,HoBa2Cu4O8,27.2269,3.84305,3.87304,2.274,,2.274,1.9290224999999999
75686,RE124,TmBa2Cu4O8,27.212,3.8305,3.8645,2.289,,2.289,1.92375
75687,RE124,ErBa2Cu4O8,27.221,3.8357,3.8668,2.289,,2.289,1.925625
75688,RE124,HoBa2Cu4O8,27.230999999999998,3.8411,3.8694,2.266,,2.266,1.927625
75815,RE124,PrBa2Cu4O8,27.320590000000003,3.8859,3.9031,2.224,,2.224,1.94725
74072,Hg1201,Hg0.89Ba2Cu1.11O4.23,9.5162,3.8753300000000004,3.8753300000000004,2.74,,2.74,1.9376650000000002
87335,Hg1201,Hg0.992Ba2CuO4.039,9.538,3.8839,3.8839,2.89,,2.89,1.94195
89231,Hg1201,Hg0.752Mo0.252Ba2CuO4.584,9.3547,3.883,3.883,2.7239999999999998,,2.7239999999999998,1.9415
79035,Hg1201,Hg0.56Cr0.44Sr2CuO4.89,8.7009,3.8412,3.8412,2.454,,2.454,1.9206
74085,Hg1201,Hg0.5Bi0.5Sr1.5La0.5CuO5,8.8765,3.7753,3.7753,2.415,,2.415,1.88765
83047,Hg1201,Hg0.5Bi0.5Sr2CuO4.92,8.9428,3.7652,3.7652,2.454,,2.454,1.8826
83048,Hg1201,Hg0.5Bi0.5Sr1.5La0.5CuO5,8.8252,3.7769,3.7769,2.4,,2.4,1.88845
82842,Hg1201,Hg0.58Cr0.42Sr1.82Cu1.02O4.38,8.724,3.842,3.842,2.61,,2.61,1.921
56427,Hg1201,Hg0.936Ba2CuO4.07,9.5324,3.8807,3.8807,2.7439999999999998,,2.7439999999999998,1.94035
74064,Hg1201,Hg0.93Ba2Cu1.07O4.15,9.5132,3.87503,3.87503,2.74,,2.74,1.937515
74065,Hg1201,Hg0.91Ba2Cu1.09O4.11,9.5398,3.88881,3.88881,2.75,,2.75,1.944405
83113,Hg1201,Hg0.78Bi0.22Ba2CuO4.28,9.492,3.88,3.88,2.762,,2.762,1.94
87250,Hg1201,Hg0.53Cr0.47Sr2Cu0.81O4.6,8.715,3.85,3.85,2.5639999999999996,,2.5639999999999996,1.925
246652,Tl1201,TlBa1.1La0.9CuO5,9.068,3.844,3.844,2.476,,2.476,1.922
246694,Tl1201,TlBaLaCuO5.17,8.993,3.845,3.845,2.471,,2.471,1.9225
69233,Tl1201,Tl0.98Ba1.2La0.8CuO4.99,9.0744,3.8444,3.8444,2.499,,2.499,1.9222
69907,Tl1201,TlSr1.25La0.75CuO5.02,8.8879,3.77,3.77,2.307,,2.307,1.885
69908,Tl1201,TlSrLaCuO5.04,8.8542,3.7849,3.7849,2.2840000000000003,,2.2840000000000003,1.89245
69936,Tl1201,TlSrLaCuO5,8.8466,3.7796,3.7796,2.327,,2.327,1.8898
246656,Tl1201,TlBa1.5La0.5CuO4.5,9.2847,3.8446,3.8446,2.5810000000000004,,2.5810000000000004,1.9223
246695,Tl1201,TlBa0.6Sr0.4LaCuO5.15,8.915,3.805,3.805,2.424,,2.424,1.9025
246696,Tl1201,TlBa0.3Sr0.7LaCuO5.12,8.853,3.787,3.787,2.401,,2.401,1.8935
246697,Tl1201,TlSrLaCuO5.08,8.804,3.76,3.76,2.379,,2.379,1.88
41964,Tl1212,TlSr2Ca0.8Tl0.2Cu2O6.934,12.11899,3.7844300000000004,3.7844300000000004,2.36,,2.36,1.8922150000000002
69919,Tl1212,Tl0.96Ba2Ca0.8Nd0.2Cu2O6.86,12.6534,3.8560000000000003,3.8560000000000003,2.6860000000000004,,2.6860000000000004,1.9280000000000002
68576,Tl1212,Tl1.13Ba2Ca0.87Cu2O7,12.720999999999998,3.847,3.847,2.745,,2.745,1.9235
65330,Tl1212,Tl1.17Ca0.83Ba2Cu2O6.75,12.754000000000001,3.8569999999999998,3.8569999999999998,2.761,,2.761,1.9285
83809,Tl1212,TlBa2Ca0.424Pr0.576Cu2O7,12.54,3.88416,3.88416,2.548,,2.548,1.94208
85252,Tl1212,Tl1.169Ca0.831Ba2Cu2O6.71,12.71,3.8499,3.8499,2.722,,2.722,1.92495
86964,Tl1212,Tl0.607Pb0.5Sr1.550Ba0.404Ca0.939Cu2O7,12.1874,3.805,3.805,2.438,,2.438,1.9025
87020,Tl1212,Tl1.159Ba2Ca0.841Cu2O6.5,12.7177,3.8569999999999998,3.8569999999999998,2.778,,2.778,1.9285
87022,Tl1212,Tl1.096Rb0.117Ba2Ca0.787Cu2O6.8,12.7231,3.8569999999999998,3.8569999999999998,2.752,,2.752,1.9285
84025,Tl1212,Tl0.61Pb0.5Sr1.78Ba0.2Ca0.91Cu2O7,12.1439,3.801,3.801,2.428,,2.428,1.9005
41695,Tl1212,Tl0.98Sr2Lu0.81Ca0.19Cu2O6.96,11.9986,3.79633,3.79633,2.322,,2.322,1.898165
41701,Tl1212,Tl1.15Sr2Ca0.82Cu2O6.93,12.119000000000002,3.7844300000000004,3.7844300000000004,2.3569999999999998,,2.3569999999999998,1.8922150000000002
41698,Tl1212,Tl0.97Sr2Lu0.6Ca0.4Cu2O6.94,12.0251,3.79601,3.79601,2.343,,2.343,1.898005
69243,Tl1212,TlSr1.3Nd0.7Ca1Cu2O6.91,11.9872,3.8282,3.8282,2.285,,2.285,1.9141
72585,Tl1212,TlSr2NdCu2O7,12.0724,3.8503,3.8503,2.198,,2.198,1.92515
74163,Tl1212,TlYBa2Cu2O7,12.457,3.866,3.866,2.865,,2.865,1.933
72587,Tl1212,TlSr2YCu2O7,11.9963,3.8157,3.8157,2.289,,2.289,1.90785
81161,Tl1212,TlSr2Ca0.8Tl0.2Cu2O6.934,12.1177,3.78416,3.78416,2.353,,2.353,1.89208
67300,Tl1212,TlSr2Ca0.5Er0.5Cu2O6.75,12.014000000000001,3.798,3.798,2.403,,2.403,1.899
56693,Hg1212,Hg0.75Bi0.25Ba2CaCu2O6.56,12.710999999999999,3.8565,3.8565,2.767,,2.767,1.92825
74103,Hg1212,Hg0.96Ba2CaCu2O6.08,12.6978,3.863,3.863,2.824,,2.824,1.9315
74105,Hg1212,HgBa2CaCu2O6.26,12.6562,3.8576599999999996,3.8576599999999996,2.739,,2.739,1.9288299999999998
75778,Hg1212,Hg0.87Ba2CaCu2.13O6.64,12.682,3.8564,3.8564,2.805,,2.805,1.9282
74096,Hg1212,Hg0.4Pr1.1Sr2Ca0.5Cu2O7,12.154000000000002,3.8018,3.8018,2.24,,2.24,1.9009
75853,Hg1212,Hg0.91Ba2Ca0.86Sr0.14Cu2O6.11,12.6646,3.8584,3.8584,2.812,,2.812,1.9292
78591,Hg1212,Hg0.86Ba2Sm0.48Ca0.52Cu2O6.4,12.559000000000001,3.8857,3.8857,2.688,,2.688,1.94285
82056,Hg1212,Hg0.87Ba2CaCu2O6.32,12.697000000000001,3.8586,3.8586,2.812,,2.812,1.9293
84077,Hg1212,Hg0.76Ba2Ca0.48Dy0.52Cu2.09O6.4,12.5385,3.8712,3.8712,2.608,,2.608,1.9356
86533,Hg1212,Hg0.62Ba2CaCu2.15O6.15,12.235,3.8684,3.8684,2.7739999999999996,,2.7739999999999996,1.9342
87290,Hg1212,Hg0.728Sr2PrCu2.272O6,12.1199,3.8532,3.8532,2.213,,2.213,1.9266
74137,Hg1212,HgBa2CaCu2O6.28,12.6416,3.8543,3.8543,2.799,,2.799,1.92715
74143,Hg1212,HgBa2CaCu2O6.36,12.6836,3.8554,3.8554,2.775,,2.775,1.9277
87284,Hg1212,Hg0.66Re0.34Sr2CaCu2O7.09,12.0124,3.8101,3.8101,2.524,2.3609999999999998,2.4425,1.90505
81153,Tl1223,Tl0.68Bi0.17Sr01.6Ba0.4Ca2Cu3O8.8,15.4235,3.821,3.821,2.383,,2.383,1.9105
65329,Tl1223,Tl1.07Ca1.93Ba2Cu2.862O9,15.9223,3.853,3.85,2.762,,2.762,1.92575
