num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :,layers :,types :,cu-o_a :,cid :,cu-o_p :
11058,Y1.0Ba2.0Cu3.0O6.94,Y123,92.6,3.821,3.884,11.687,PR05116487,"Donald E. Morris, Guo-meng Zhao,",Observati of a possible oxygen isotope effect on the effective mass of carriers in YBa2Cu3O6.94,"Phys.Rev.B,51(1995)16487",1995.0,3.821,Two,RE,2.297514476174987,0.0,1.9105
11059,Y1.0Ba2.0Cu3.0O6.94,Y123,92.9,3.821,3.884,11.687,PR05116487,"Donald E. Morris, Guo-meng Zhao,",Observati of a possible oxygen isotope effect on the effective mass of carriers in YBa2Cu3O6.94,"Phys.Rev.B,51(1995)16487",1995.0,3.821,Two,RE,2.297514476174987,0.0,1.9105
11300,Yb1.0Ba2.0Cu3.0O7.0,RE123,87.9,3.796,3.866,11.613,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.796,Two,RE,2.361278562636943,1.0,1.898
11301,Tm1.0Ba2.0Cu3.0O7.0,RE123,90.4,3.801,3.871,11.616,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.801,Two,RE,2.353987728095827,1.0,1.9005
11302,Ho1.0Ba2.0Cu3.0O7.0,RE123,91.5,3.818,3.883,11.633,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.818,Two,RE,2.3349547132077917,1.0,1.909
11303,Dy1.0Ba2.0Cu3.0O7.0,RE123,91.7,3.818,3.884,11.649,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.818,Two,RE,2.348497825094269,1.0,1.909
11305,Sm1.0Ba2.0Cu3.0O7.0,RE123,93.1,3.849,3.898,11.691,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.849,Two,RE,2.3231014520733337,0.0,1.9245
11306,Nd1.0Ba2.0Cu3.0O7.0,RE123,94.4,3.857,3.912,11.720999999999998,PR05112900,"C.W. Chu, C.Y. Huang, J.C. Ho, J.G. Lin, X.W. Cao, Y.Y. Xue,",Origin of the R-ion effect on Tc in RBa2Cu3O7,"Phys.Rev.B,51(1995)12900",1995.0,3.857,Two,RE,2.3327665180287505,0.0,1.9285
11812,Bi2.0Sr2.0Ca1.0Cu2.0O8.0,Bi2212,92.0,5.4,5.4,30.97,PR05207647,"D. Hu, M. Ausloos, V. Brabers,",Mixed-state thermoelectric and thermomagnetic effects of a Bi2Sr2CaCu2O8+z single crystal,"Phys.Rev.B,52(1995)7647",1995.0,3.8183766184073566,Two,Bi,2.528906065404668,0.0,1.9091883092036783
12082,Y1.0Ba2.0Cu3.0O6.9,Y123,92.5,3.8154,3.8842,11.678,P071104503,"G.C.Che, K.Q.Li, N.L.Di, Y.H.Liu, Z.H.Cheng, Z.Q.Kou, Z.X.Zhao,",Superconductivity and Mossbauer effect of FexCu1?xBa2YCu2O7+y superconductors synthesized by high pressure,"Phys.Rev.B, 71(2005)104503",2005.0,3.8154,Two,RE,2.2857990062734626,0.0,1.9077
12090,Y1.0Ba2.0Cu2.94Fe0.06O7.254,Y123,91.0,3.8565,,11.619000000000002,P071104503,"G.C.Che, K.Q.Li, N.L.Di, Y.H.Liu, Z.H.Cheng, Z.Q.Kou, Z.X.Zhao,",Superconductivity and Mossbauer effect of FexCu1?xBa2YCu2O7+y superconductors synthesized by high pressure,"Phys.Rev.B, 71(2005)104503",2005.0,3.8565,Two,RE,2.2704290718933073,0.0,1.92825
12153,La1.85Sr0.15Cu1.0O4.0,T,37.0,3.7733,,13.2235,PHC4210056,"Changjin Zhang, Hui Huang, Min Tan, Yuheng Zhang,",Effects of Mn doping on the superconductivity in La2-xSrxCuO4,"Physica C, 421(2005)56",2005.0,3.7733,One,RE,2.4108438937989267,0.0,1.88665
12154,La1.82Sr0.18Cu0.98Mn0.02O4.0,T,37.0,3.7761,,13.2174,PHC4210056,"Changjin Zhang, Hui Huang, Min Tan, Yuheng Zhang,",Effects of Mn doping on the superconductivity in La2-xSrxCuO4,"Physica C, 421(2005)56",2005.0,3.7761,One,RE,2.408656206429021,0.0,1.88805
