,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
947,41568.0,Tl2201,3.86409,3.86409,23.13719,2.3607,1.932,
948,290308.0,Tl2201,3.873,3.873,23.149,2.40564,1.9442,
949,69303.0,Tl2201,3.86273,3.86273,23.1995,2.3556999999999997,1.95625,
950,41962.0,Tl2201,3.86712,3.86712,23.14828,2.7053,1.9335,
951,290315.0,Tl2201,3.858,3.858,23.249,2.4162000000000003,1.8906,
952,69301.0,Tl2201,3.86298,3.86298,23.1369,2.34926,1.95825,
953,73019.0,Tl2201,3.8714,3.8714,23.269,2.26629,1.9357,
954,290313.0,Tl2201,3.854,3.854,23.138,2.48502,1.9347,
955,80723.0,Tl1201,3.6598,3.7844,8.9649,2.295,1.86105,
956,69936.0,Tl1201,3.7796,3.7796,8.8466,2.3266,1.8898,
957,246694.0,Tl1201,3.845,3.845,8.993,2.4712,1.9225,
958,91292.0,Tl1201,3.7526,11.6016,9.1898,2.5366,1.92,
959,86427.0,Tl1201,3.661,3.793,8.99,2.4848,1.8635000000000002,
960,246653.0,Tl1201,3.84025,3.84025,9.1136,2.4606,1.9201,
961,69937.0,Tl1201,3.7535,3.7535,8.9038,2.306,1.8767,
962,80724.0,Tl1201,3.6607,7.5709,8.9672,2.28655,1.8775,
963,69234.0,Tl1201,3.8479,3.8479,9.0909,2.4999,1.9239,
964,69906.0,Tl1201,3.7525,3.7525,8.9301,2.3379,1.8762,
965,69909.0,Tl1201,3.7382,3.7382,9.0256,2.5343,1.8691,
966,202898.0,Tl1201,3.741,3.741,8.875,2.2986,1.8705,
967,69908.0,Tl1201,3.7849,3.7849,8.8542,2.2843,1.8924,
968,69907.0,Tl1201,3.77,3.77,8.8879,2.3072,1.885,
969,167104.0,Tl1201,3.738,3.738,9.01,2.4597,1.869,
970,203138.0,Tl1201,3.7344,3.7344,9.007,2.4895,1.8672,
971,69804.0,Tl1201,3.76941,3.76941,8.83992,2.3241,1.8847,
972,69938.0,Tl1201,3.7713,3.7713,8.8676,2.4917,1.8856,
973,246696.0,Tl1201,3.787,3.787,8.853,2.4009,1.8935,
974,80656.0,Tl1201,3.7526,3.7526,9.0279,2.4194,1.8763,
975,246695.0,Tl1201,3.805,3.805,8.915,2.4239,1.9025,
976,84637.0,Tl1201,3.7536,30.631,9.219,2.4245,1.8768,
977,81165.0,Tl1201,3.7511,3.7511,8.939,2.485,1.8755,
978,64633.0,Bi2212,5.39,5.39,30.725,2.643566666666667,1.9140000000000001,
979,80710.0,Bi2212,5.571,5.583,31.104,2.3016,1.9717,
980,66488.0,Bi2212,5.415,5.4149,30.861,2.4829,1.915,
981,202921.0,Bi2212,5.385,5.424,30.316,2.3525,1.9206,
982,63217.0,Bi2212,5.3946,5.3895,30.649,2.4639,1.9184,
983,180765.0,Bi2212,5.42,5.405,30.883,2.2260999999999997,1.886,
984,85111.0,Bi2212,5.409,27.04,30.56,2.30702,1.9104,
985,68672.0,Bi2212,5.408,5.413,30.871,2.3118,1.9167,
986,39751.0,Bi2212,5.407,5.412,30.771,2.429,1.9131,
987,71824.0,Bi2212,5.423,5.376,30.72,2.4862,1.95365,
988,72214.0,Bi2212,5.3857,5.4405,30.4218,2.1367333333333334,1.95095,
989,71748.0,Bi2212,5.374,5.421,30.397,2.4006,1.9183,
990,74258.0,Bi2212,5.461,5.456,30.48,2.3378,1.9440499999999998,
991,41442.0,Bi2212,5.3957,5.3971,30.649,2.4304,1.9079,
992,78442.0,Bi2212,5.407,27.06,30.771,2.2660545454545455,1.8625,
993,91466.0,Bi2212,5.487,5.507,30.33,2.026,1.9460000000000002,
994,72212.0,Bi2212,5.3702,5.4248,30.3291,2.5993,1.9123,
995,63210.0,Bi2212,5.395,5.393,30.62799,2.2542,1.9073,
996,67428.0,Bi2212,5.4054,5.4016,30.7152,2.5094,1.9149,
997,66487.0,Bi2212,5.408,5.413,30.871,2.4837,1.91345,
998,151806.0,Bi2212,5.3852,5.4286,30.997,2.5302,1.9189,
999,72213.0,Bi2212,5.37,5.4209,30.439,2.03565,1.95755,
1000,69885.0,Bi2212,5.324,5.391,30.6,2.4726,1.9119,
1001,71749.0,Bi2212,5.388,5.423,30.367,2.2058999999999997,1.862,
1002,174156.0,Bi2212,5.414,5.418,30.89,2.0294,1.9175,
1003,66211.0,Bi2212,5.408,5.413,30.871,2.4993,1.91365,
1004,65862.0,Bi2212,5.423,5.376,30.72,2.4862,1.96185,
1005,71853.0,Bi2212,5.378,5.361,30.622,2.6855,1.9126,
