num :,composition :,str3 :,tc :,lata :,latb :,latc :,refno :,author :,title :,journal :,year :,lata* :
293,La1.85Sr0.15Cu0.925Zn0.025O4.0,T,15.0,3.7769999999999997,,13.220999999999998,PRB0368393,"E.J. McNiff, Jr, G.W. Hull, J.M. Tarascon, K.A. Delin, L.H. Greene, P. Barboux, S. Foner, T.P. Orlando, W.R. Mckinnon,",3d-metal doping of the high-temperature superconducting perovskites La-Sr-Cu-O and Y-Ba-Cu-O,"Phys.Rev.B,36(1987)8393",1987.0,3.7769999999999997
296,Y1.0Ba2.0Cu2.841Co0.159O6.8,Y123,54.0,3.862,,11.664000000000001,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.862
297,Y1.0Ba2.01Cu2.806Cr0.194O7.3,Y123,62.0,3.8310000000000004,3.8939999999999997,11.686,SSC0650585,"C.PAULSEN, J.L.THOLENCE, P.STROBEL,",SUPERCONDUCTING PROPERTIES OF SUBSTITUTED Y(1)BA(2)CU(3(1-X))M(3X)O(7-Z),"SOLID STATE COMMUN.,65(1988)585",1988.0,3.8310000000000004
299,Y1.0Ba2.0Cu2.98Fe0.02O6.93,Y123,91.8,3.819,3.884,11.667,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.819
300,Y1.0Ba2.0Cu2.95Fe0.05O6.92,Y123,91.8,3.83,3.878,11.665999999999999,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.83
301,Y1.0Ba2.0Cu2.9Fe0.1O6.92,Y123,76.0,3.86,,11.683,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.86
302,Y1.0Ba2.0Cu2.8Fe0.2O6.93,Y123,49.0,3.864,,11.684000000000001,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.864
304,Y1.0Ba2.0Cu2.6Fe0.4O7.0,Y123,31.0,3.8710000000000004,,11.674000000000001,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.8710000000000004
307,Y1.0Ba2.0Cu2.95Al0.05O6.93,Y123,91.0,3.835,3.883,11.682,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.835
308,Y1.0Ba2.0Cu2.9Al0.1O6.93,Y123,92.0,3.86,3.866,11.675,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.86
309,Y1.0Ba2.0Cu2.8Al0.2O6.91,Y123,85.0,3.862,,11.673,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.862
310,Y1.0Ba2.0Cu2.7Al0.3O6.99,Y123,73.0,3.863,,11.672,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.863
311,Y1.0Ba2.0Cu2.6Al0.4O7.0,Y123,42.0,3.863,,11.671,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.863
312,Y1.0Ba2.0Cu2.9Ni0.1O6.87,Y123,55.0,3.8289999999999997,3.886,11.637,PRB0377458,"G.W.HULL, J.M.TARASCON, L.H.GREENE, M.EIBSCHUTZ, P.BARBOUX, P.F.MICELI, S.A.SUNSHINE,",STRUCTURAL AND PHYSICAL PROPERTIES OF THE METAL (M) SUBSTITUTED Y(1)BA(2)CU(3-X)M(X)O(7-Y) PEROVSKITE,"PHYS.REV.B,37(1988)7458",1988.0,3.8289999999999997
